DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageSeaLevelPressure,DailyAverageStationPressure,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyCoolingDegreeDays,DailyDepartureFromNormalAverageTemperature,DailyHeatingDegreeDays,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyPeakWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailySustainedWindSpeed,Sunrise,Sunset
30,74,21,29.81,26.91,52,5.4,9,5.5,0,91,56,18,0,0,0,14,615,1910
29,74,21,29.73,26.85,51,5.6,9,5.9,0,89,59,17,0,0,0,14,616,1908
34,64,33,29.86,26.96,50,8.1,0,-3.8,1,78,50,26,0,0,0,22,617,1906
36,62,39,30.02,27.09,49,7.3,0,-5.4,3,76,48,28,0,0,0,21,619,1905
23,58,27,30.16,27.2,43,9.2,0,-9,7,70,46,26,0,0,0,21,620,1903
19,62,23,30.1,27.13,43,9.5,0,-4.7,3,79,45,22,0,0,0,17,621,1901
26,65,24,29.91,26.98,47,3.3,0,-1.3,0,80,50,14,0,0,0,12,622,1859
33,70,27,29.88,26.97,51,3.9,5,4.1,0,86,53,14,0,0,0,12,623,1857
34,74,24,29.9,27.01,54,4.1,9,8.5,0,92,56,38,0.001,0,0,26,624,1855
46,80,33,29.81,26.92,60,5.7,15,14.8,0,93,67,28,0.02,0,0,22,625,1854
40,81,26,29.69,26.82,57,5.1,16,16.2,0,92,69,21,0,0,0,16,626,1852
42,76,31,29.7,26.84,57,4.1,11,11.6,0,87,64,23,0.001,0,0,18,627,1850
46,68,48,29.96,27.05,56,5.8,3,4,0,79,57,20,0,0,0,16,629,1848
45,71,42,30,27.08,56,4.6,6,7.4,0,88,54,20,0,0,0,16,630,1846
46,73,43,29.94,27.03,57,8.4,8,9.8,0,83,62,28,0.001,0,0,22,631,1844
53,72,55,29.95,27.04,60,4.8,7,9.1,0,82,61,17,0.01,0,0,14,632,1843
51,75,46,29.89,26.98,60,8.3,10,12.5,0,86,63,21,0.001,0,0,16,633,1841
43,79,32,29.78,26.88,58,6.9,14,16.9,0,95,62,20,0,0,0,17,634,1839
42,65,45,29.8,26.9,53,10.4,0,3.3,0,79,51,39,0.01,0,0,32,635,1837
39,64,41,29.91,26.98,51,8.4,0,2.7,1,71,56,21,0.02,0,0,18,637,1835
49,60,74,29.82,26.89,54,4.1,0,-0.9,5,66,54,15,0.14,0,0,13,638,1833
52,59,81,29.86,26.93,55,5.3,0,-1.5,6,64,54,26,0.34,0,0,23,639,1832
50,58,80,29.9,26.96,53,7.8,0,-2.1,7,63,52,28,0.36,0,0,22,640,1830
42,56,64,29.94,27,49,10,0,-3.7,9,62,50,29,0.02,0,0,23,641,1828
37,53,58,30.12,27.14,45,7.4,0,-6.3,12,63,42,21,0,0,0,17,642,1826
32,56,44,30.2,27.23,44,6.5,0,-2.9,9,68,44,18,0,0,0,13,643,1824
34,59,43,30.31,27.32,46,5.7,0,0.5,6,72,45,16,0,0,0,12,645,1823
39,60,47,30.2,27.22,49,5,0,1.9,5,74,46,14,0,0,0,12,646,1821
40,65,43,30.08,27.14,51,5.4,0,7.3,0,79,50,16,0,0,0,13,647,1819
42,66,44,29.99,27.06,53,5,1,8.7,0,80,52,15,0,0,0,12,648,1817
42,68,43,29.92,27,53,5.1,3,11.1,0,82,53,15,0,0,0,12,649,1816
36,65,37,29.88,26.96,50,4.8,0,8.5,0,79,51,18,0,0,0,15,650,1814
38,62,48,29.93,27,49,4,0,5.9,3,75,48,21,0,0,0,15,652,1812
36,60,45,30.02,27.07,47,6.5,0,4.3,5,72,47,16,0,0,0,13,653,1810
38,62,45,29.97,27.03,49,7.6,0,6.7,3,73,51,41,0,0,0,32,654,1809
35,54,50,30.17,27.2,45,8.5,0,-0.9,11,62,46,24,0,0,0,18,655,1807
28,61,33,30.06,27.11,45,11,0,6.5,4,76,46,24,0,0,0,18,656,1805
26,71,20,29.73,26.82,49,13.3,6,16.9,0,80,61,30,0,0,0,25,658,1804
33,59,44,29.82,26.93,45,7,0,5.3,6,71,47,43,0.001,0,0,35,659,1802
34,55,51,30.05,27.08,44,5.2,0,1.7,10,65,44,21,0,0,0,16,700,1800
31,58,40,29.94,26.98,45,6.7,0,5.1,7,70,45,21,0,0,0,16,701,1759
36,57,48,29.99,27.03,46,4.8,0,4.5,8,71,42,14,0,0,0,12,703,1757
34,65,39,29.9,26.95,48,8.4,0,12.9,0,81,48,24,0,0,0,20,704,1755
35,62,38,29.75,26.83,49,5.7,0,10.3,3,77,47,24,0.02,0,0,18,705,1754
41,53,71,29.97,27.02,47,7,0,1.7,12,60,46,20,0.3,0,0,15,706,1752
34,54,49,30.04,27.07,45,12.3,0,3.1,11,63,44,31,0.01,0,0,21,708,1751
46,57,71,30,27.05,50,7.5,0,6.6,8,62,52,23,0.05,0,0,17,709,1749
49,58,80,30.01,27.03,52,2.3,0,8,7,67,48,12,0.03,0,0,10,710,1748
40,60,60,29.79,26.85,48,6.5,0,10.4,5,78,41,30,0,0,0,23,711,1746
34,50,56,30.01,27.06,43,7.8,0,0.8,15,57,42,26,0.001,0,0,20,713,1745
32,42,67,30.18,27.18,38,3.9,0,-6.8,23,50,34,12,0.001,0,0,9,714,1743
28,50,45,30.17,27.17,40,9.5,0,1.6,15,62,37,28,0,0,0,22,715,1742
38,53,58,30.17,27.18,46,3.2,0,5,12,62,43,16,0.001,0,0,13,717,1740
38,61,50,30.02,27.04,48,6.6,0,13.4,4,75,47,21,0,0,0,16,718,1739
37,56,52,29.71,26.77,46,3.6,0,8.9,9,65,47,21,0,0,0,16,719,1737
34,43,72,30.09,27.1,38,8.4,0,-3.3,22,49,36,25,0.06,0,0,21,722,1735
33,44,66,30.28,27.27,39,4.4,0,-1.9,21,54,33,12,0,0,0,9,723,1733
36,48,64,30.31,27.31,43,8.4,0,2.6,17,53,42,22,0.001,0,0,17,724,1732
43,55,70,30.36,27.35,48,3.5,0,10,10,63,47,17,0,0,0,14,726,1731
40,58,56,30.17,27.19,48,12,0,13.4,7,69,46,30,0,0,0,23,727,1730
37,50,65,30.3,27.32,44,5.6,0,5.9,15,58,41,17,0,0,0,13,728,1728
37,48,71,30.32,27.29,42,3.6,0,4.3,17,57,38,18,0,0,0,15,730,1727
38,45,75,29.91,26.93,42,4.1,0,1.7,20,53,37,28,0.01,0,0,21,731,1726
26,38,58,29.98,26.99,35,10.4,0,-4.8,27,48,28,30,0,0,0,24,732,1725
14,31,55,30.18,27.13,25,6,0,-11.4,34,40,22,28,0,0,0,20,733,1724
-2,24,34,30.4,27.31,16,7.5,0,-18,41,30,17,25,0,0,0,21,735,1723
15,24,72,30.16,27.06,22,9.2,0,-17.5,41,27,21,21,0.26,0,3.3,16,736,1722
23,22,89,30.01,26.95,24,5.4,0,-19.1,43,28,15,18,0.38,4,4.3,15,737,1721
7,12,81,30.42,27.29,11,2.7,0,-28.6,53,22,1,12,0,7,0,10,739,1720
8,13,80,30.71,27.55,12,3.9,0,-27.2,52,22,4,13,0,6,0,10,740,1719
7,13,81,30.68,27.51,11,2.1,0,-26.8,52,20,6,12,0,5,0,9,741,1718
7,13,80,30.55,27.38,11,0.8,0,-26.3,52,22,4,12,0,5,0,7,743,1717
10,16,80,30.36,27.22,14,1.7,0,-22.9,49,23,9,7,0,5,0,6,744,1716
18,22,83,30.22,27.13,21,1.3,0,-16.5,43,30,14,9,0.001,4,0,7,745,1716
26,32,81,30.05,26.98,29,4.6,0,-6,33,41,23,23,0.08,4,0,18,746,1715
37,42,81,29.84,26.87,40,9.9,0,4.4,23,48,36,29,0.18,1,0,22,748,1714
28,37,70,30.28,27.25,34,2.4,0,-0.2,28,46,28,13,0,0,0,10,749,1714
27,38,63,30.4,27.35,35,5.5,0,1.2,27,47,29,17,0.001,0,0,14,750,1713
39,47,74,30.28,27.26,43,6.2,0,10.6,18,54,39,16,0.03,0,0,13,751,1712
38,49,68,30.26,27.25,44,5.3,0,13,16,60,37,20,0,0,0,15,752,1712
40,50,74,30.09,27.09,44,4.7,0,14.4,15,57,42,20,0.02,0,0,17,754,1711
33,53,55,29.76,26.78,43,5.4,0,17.8,12,65,40,20,0,0,0,16,755,1711
30,42,50,29.62,26.71,40,11.9,0,7.2,23,55,29,32,0.001,0,0,26,756,1710
17,26,68,30.17,27.14,24,4,0,-8.5,39,33,19,15,0,0,0,13,757,1710
26,32,82,30.23,27.17,29,5.3,0,-2.1,33,34,29,14,0.09,0,0.5,10,758,1710
32,33,96,30.14,27.08,32,3.1,0,-0.8,32,36,30,9,0.27,0,0,7,759,1709
38,40,90,29.94,26.93,39,3,0,6.6,25,46,34,24,0.27,0,0,21,800,1709
43,49,88,29.94,26.98,45,4.9,0,15.9,16,57,40,20,0.12,0,0,16,801,1709
38,40,96,30.15,27.14,39,2.2,0,7.2,25,46,34,12,0,0,0,9,802,1709
40,44,84,30.2,27.19,42,5.2,0,11.5,21,54,34,20,0.06,0,0,16,803,1708
38,44,87,30.31,27.29,40,2,0,11.8,21,54,33,13,0,0,0,12,804,1708
37,42,87,30.28,27.26,39,3.4,0,10,23,50,34,16,0,0,0,14,805,1708
36,43,82,30.21,27.18,39,4.2,0,11.3,22,49,36,20,0,0,0,15,806,1708
33,46,62,29.95,26.93,41,9.9,0,14.5,19,58,34,29,0,0,0,23,807,1708
31,57,36,29.62,26.69,45,15.8,0,25.8,8,63,51,36,0,0,0,28,808,1708
33,51,48,29.63,26.72,44,17.2,0,20,14,62,40,44,0.22,0,0,32,809,1708
31,40,74,30.07,27.08,36,11.1,0,9.2,25,45,34,23,0.01,0,0,21,810,1709
26,34,78,30.2,27.16,30,3.2,0,3.4,31,42,26,14,0,0,0,10,810,1709
25,37,63,30.13,27.08,32,7.3,0,6.5,28,44,29,22,0,0,0,16,811,1709
30,39,73,29.99,26.98,35,10.4,0,8.7,26,42,36,28,0,0,0,22,812,1709
31,37,79,30.01,27.01,35,2.9,0,6.8,28,46,27,17,0,0,0,14,813,1710
32,41,70,30.1,27.09,37,8.4,0,10.9,24,47,34,18,0.001,0,0,15,813,1710
35,41,77,30.07,27.07,39,10.4,0,11,24,45,36,30,0.16,0,0,22,814,1710
37,40,84,30,26.98,39,10,0,10.1,25,44,36,22,0.71,0,0,17,814,1711
40,44,90,29.97,26.99,42,7.6,0,14.2,21,47,40,35,0.76,0,0,28,815,1711
34,40,80,30.21,27.21,38,7.7,0,10.3,25,48,31,35,0.11,0,0,28,815,1712
25,36,67,30.39,27.32,31,5.9,0,6.3,29,44,27,20,0,0,0,16,816,1712
28,33,85,29.79,26.75,31,7.1,0,3.4,32,37,29,38,0.38,0,0.9,31,816,1713
23,32,72,29.95,26.95,28,16.8,0,2.4,33,37,27,36,0,1,0,28,817,1714
23,29,74,30.24,27.21,27,8.1,0,-0.6,36,37,21,22,0,1,0,18,817,1714
20,27,73,30.34,27.25,25,8.7,0,-2.6,38,33,21,18,0.05,1,1,14,817,1715
28,31,93,30.14,27.09,30,2.8,0,1.4,34,37,25,21,0.07,3,0.7,16,818,1716
24,27,86,30.23,27.18,26,4.5,0,-2.6,38,31,23,15,0.05,2,1.1,14,818,1716
16,22,81,30.61,27.5,19,4.1,0,-7.6,43,25,18,13,0.01,3,0.2,10,818,1717
8,14,78,30.62,27.47,13,2.2,0,-15.6,51,19,9,8,0,3,0.001,7,818,1718
7,12,80,30.48,27.34,11,1.9,0,-17.7,53,18,6,13,0.001,3,0.001,9,818,1719
7,14,73,30.41,27.27,13,3.3,0,-15.8,51,20,8,12,0,3,0,9,818,1720
12,19,77,30.38,27.27,17,3.3,0,-10.9,46,25,12,16,0,2,0,10,818,1721
19,26,79,30.45,27.35,23,1.1,0,-3.9,39,32,19,12,0.02,2,0.1,9,818,1722
30,34,94,30.45,27.37,31,3.6,0,4,31,39,29,17,0.11,3,0.1,12,818,1723
31,32,95,30.55,27.47,31,1.3,0,1.9,33,37,26,15,0,2,0,14,818,1724
28,33,94,30.5,27.4,29,1.6,0,2.8,32,41,24,12,0,2,0,10,818,1725
28,31,92,30.35,27.27,30,2.7,0,0.7,34,32,29,12,0.001,2,0.001,9,818,1726
29,32,93,30.27,27.21,31,3.3,0,1.6,33,33,30,14,0,1,0,10,818,1727
30,32,93,30.16,27.11,31,0.9,0,1.5,33,34,29,8,0,0.001,0,7,817,1728
31,33,94,30.18,27.15,32,1.3,0,2.4,32,34,31,7,0.01,0.001,0.001,7,817,1729
32,33,97,30.27,27.23,32,5.7,0,2.3,32,35,30,14,0.11,1,0.8,13,817,1731
28,33,91,30.43,27.37,30,3.1,0,2.2,32,37,28,14,0,0.001,0,12,816,1732
26,31,78,30.49,27.42,30,8.5,0,0.1,34,34,28,23,0,0,0,18,816,1733
24,30,73,30.45,27.37,29,8.4,0,-1,35,35,25,28,0,0,0,21,815,1734
34,37,92,30.23,27.21,35,6.4,0,5.9,28,42,31,26,0.34,0,0.1,21,815,1735
32,36,93,30.31,27.24,34,3.7,0,4.7,29,43,29,20,0.06,0,0,15,814,1737
39,43,87,30.18,27.17,41,6,0,11.6,22,50,35,28,0.13,0,0,22,814,1738
33,37,88,30.37,27.32,35,3.2,0,5.5,28,44,30,16,0,0,0,13,813,1739
27,31,92,30.42,27.34,29,1.1,0,-0.6,34,34,27,7,0,0,0,6,812,1740
25,28,85,30.5,27.42,27,2.8,0,-3.8,37,33,23,10,0,0,0.001,9,812,1742
22,30,74,30.54,27.45,26,4.8,0,-1.9,35,37,23,13,0,0,0,10,811,1743
27,33,84,30.62,27.52,29,4.3,0,1,32,40,26,23,0,0,0,18,810,1744
29,35,83,30.54,27.47,32,2.1,0,2.8,30,40,29,14,0,0,0,10,809,1746
30,37,85,30.49,27.42,32,2.2,0,4.7,28,46,27,12,0,0,0,10,808,1747
31,36,87,30.32,27.26,33,2.9,0,3.6,29,43,29,12,0,0,0,9,808,1748
32,33,95,30.17,27.13,33,1.4,0,0.4,32,39,27,9,0.04,0,0,8,807,1750
34,38,92,30.37,27.32,35,2.8,0,5.3,27,46,30,18,0.01,0,0,14,806,1751
33,39,80,30.42,27.36,36,4.5,0,6.1,26,47,31,16,0,0,0,14,805,1752
30,37,84,30.27,27.22,33,3.5,0,3.9,28,45,28,18,0,0,0,15,804,1754
27,36,74,30.2,27.16,32,5.4,0,2.8,29,48,24,20,0,0,0,16,803,1755
20,37,55,30.14,27.11,30,5.5,0,-3.4,28,47,27,25,0.01,0,0.001,21,722,1834
21,38,50,29.84,26.83,32,8.9,0,-2.5,27,49,27,28,0,0,0,22,720,1835
18,37,49,30.03,27.03,30,13,0,-3.8,28,46,28,29,0,0,0,23,718,1836
13,33,48,30.31,27.26,26,3.5,0,-8.1,32,45,20,16,0,0,0,12,717,1837
17,42,42,30.4,27.35,32,3,0,0.6,23,57,26,18,0,0,0,12,715,1839
22,46,43,30.4,27.37,35,3.9,0,4.3,19,60,31,13,0,0,0,10,713,1840
27,49,46,30.23,27.21,38,4.6,0,7,16,62,35,13,0,0,0,9,712,1841
25,47,45,30.14,27.14,38,5.8,0,4.7,18,62,32,20,0,0,0,15,710,1843
25,49,42,30.08,27.09,39,4.6,0,6.4,16,64,34,16,0,0,0,12,708,1844
24,54,34,29.99,27.02,41,5.8,0,11.1,11,71,36,20,0,0,0,16,706,1845
33,54,48,30.02,27.08,44,5.9,0,10.8,11,61,46,18,0.001,0,0,16,705,1846
40,55,62,30.32,27.34,47,6.8,0,11.6,10,64,45,25,0,0,0,20,703,1847
34,56,47,30.28,27.28,45,10.4,0,12.3,9,70,41,24,0,0,0,20,701,1849
39,59,52,30.07,27.11,49,11.4,0,15,6,66,52,24,0.11,0,0,18,659,1850
42,59,57,29.94,27.01,50,9.5,0,14.8,6,68,50,28,0.001,0,0,21,657,1851
40,54,62,30.09,27.13,47,4.4,0,9.5,11,60,47,20,0.02,0,0,15,656,1852
42,53,72,30.01,27.04,47,5.1,0,8.3,12,60,45,18,0.001,0,0,13,654,1854
34,49,60,30.17,27.18,42,8,0,4,16,59,38,32,0,0,0,21,652,1855
31,49,51,30.18,27.18,41,3.2,0,3.8,16,64,34,12,0,0,0,10,650,1856
32,55,44,30.04,27.06,44,5.7,0,9.6,10,72,38,18,0,0,0,16,649,1857
32,55,43,30.02,27.07,45,6.6,0,9.4,10,65,45,23,0,0,0,18,647,1858
28,55,38,29.96,26.98,43,8,0,9.1,10,68,42,29,0,0,0,21,645,1900
33,47,56,29.99,27.03,41,10.2,0,0.9,18,54,40,41,0.06,0,0,31,643,1901
32,44,64,30.11,27.12,39,11.2,0,-2.3,21,52,35,31,0.31,0,0,25,641,1902
30,43,59,30.39,27.37,38,3.9,0,-3.5,22,54,32,16,0,0,0,13,640,1903
36,50,62,30.35,27.33,43,3.9,0,3.4,15,65,34,14,0,0,0,10,638,1904
41,61,51,30.09,27.11,50,6.8,0,14.2,4,77,45,22,0,0,0,17,636,1906
32,52,45,30.17,27.21,44,11.8,0,5,13,62,42,46,0.001,0,0,39,634,1907
28,52,43,30.24,27.24,42,4.8,0,4.8,13,67,37,13,0,0,0,12,632,1908
31,59,36,30.02,27.04,46,6.4,0,11.6,6,77,40,28,0,0,0,20,631,1909
31,55,40,29.86,26.95,44,12.8,0,7.4,10,68,41,43,0,0,0,32,629,1910
25,45,51,30.16,27.15,36,10.6,0,-2.7,20,53,36,32,0.001,0,0,25,627,1912
21,40,49,30.25,27.24,33,7.3,0,-7.9,25,54,26,28,0,0,0,22,625,1913
19,44,37,30.21,27.19,35,7.6,0,-4.1,21,58,30,26,0,0,0,17,623,1914
27,49,43,29.93,26.95,39,5.6,0,0.8,16,57,40,20,0,0,0,15,622,1915
37,47,72,29.7,26.74,42,6.4,0,-1.4,18,54,40,23,0.2,0,0,18,620,1916
26,45,49,29.84,26.87,37,5,0,-3.6,20,54,36,18,0.001,0,0,15,618,1917
27,49,46,29.75,26.77,39,7,0,0.2,16,59,39,31,0.001,0,0,26,616,1919
36,51,65,29.83,26.88,43,10.1,0,2.1,14,59,43,28,0.12,0,0,23,615,1920
31,47,54,30.06,27.06,40,2.8,0,-2.1,18,61,33,16,0,0,0,10,613,1921
28,56,36,29.91,26.93,43,9.6,0,6.7,9,69,42,22,0,0,0,17,611,1922
36,48,64,29.88,26.94,43,6,0,-1.5,17,57,39,36,0.21,0,0,24,609,1923
26,44,54,30.17,27.16,37,4.7,0,-5.7,21,55,32,16,0,0,0,12,608,1925
24,60,27,29.89,26.94,44,12.4,0,10.1,5,77,42,32,0,0,0,26,606,1926
26,48,50,29.97,27.01,37,18.3,0,-2.1,17,60,36,45,0.01,0,0.001,35,604,1927
23,44,47,30.24,27.22,36,16.3,0,-6.3,21,57,30,39,0,0,0,30,603,1928
26,47,46,30.2,27.2,38,5.4,0,-3.5,18,63,30,18,0,0,0,14,601,1929
30,56,40,30.09,27.12,44,6.9,0,5.3,9,72,39,18,0,0,0,15,559,1931
29,58,35,30.03,27.08,45,13.4,0,7.1,7,73,42,35,0,0,0,28,558,1932
27,55,35,30.04,27.06,43,5.5,0,3.8,10,69,40,20,0,0,0,17,556,1933
30,57,35,29.86,26.91,45,4.8,0,5.6,8,73,40,16,0,0,0,13,554,1934
32,61,37,29.75,26.83,47,5.9,0,9.4,4,76,45,20,0,0,0,15,553,1935
33,57,43,29.78,26.86,46,10.8,0,5.1,8,70,44,30,0,0,0,24,551,1936
23,52,33,29.78,26.83,40,5.1,0,-0.1,13,68,35,25,0,0,0,20,550,1938
37,51,60,29.72,26.78,44,8.5,0,-1.4,14,57,45,25,0.06,0,0,20,548,1939
30,50,50,29.79,26.85,41,9.8,0,-2.7,15,60,40,36,0,0,0,30,547,1940
25,48,43,30.09,27.11,39,12.6,0,-4.9,17,61,35,38,0,0,0,28,545,1941
27,52,39,30.23,27.24,41,3.5,0,-1.2,13,68,35,18,0,0,0,12,544,1942
28,65,28,30,27.04,48,10.4,0,11.5,0,81,49,28,0,0,0,22,542,1944
35,62,38,29.95,27.03,49,11.8,0,8.2,3,73,50,29,0,0,0,22,541,1945
26,55,35,30.12,27.15,42,8.3,0,0.9,10,69,40,25,0,0,0,18,539,1946
26,61,31,29.95,27,45,6.1,0,6.6,4,78,44,17,0,0,0,15,538,1947
27,64,26,29.78,26.86,47,6.1,0,9.4,1,80,48,23,0,0,0,20,536,1948
31,63,34,29.79,26.87,48,5.8,0,8.1,2,79,47,23,0,0,0,17,535,1949
34,67,29,29.74,26.83,51,7.3,2,11.8,0,84,49,44,0.001,0,0,31,534,1951
28,62,30,29.77,26.86,46,12.8,0,6.5,3,71,52,30,0,0,0,23,532,1952
25,53,37,29.81,26.87,41,12.9,0,-2.8,12,64,41,28,0,0,0,21,531,1953
39,47,78,29.86,26.9,43,5.8,0,-9.2,18,51,42,21,0.25,0,0,16,530,1954
41,60,60,29.82,26.88,49,7.1,0,3.5,5,73,47,26,0.02,0,0,22,528,1955
32,61,38,29.9,26.96,48,12,0,4.2,4,76,45,37,0,0,0,25,527,1956
28,58,31,29.96,27.01,45,6.7,0,0.9,7,73,43,24,0,0,0,20,526,1957
33,64,33,29.75,26.83,48,10.2,0,6.6,1,76,51,30,0,0,0,23,525,1958
43,61,62,29.67,26.75,50,5.9,0,3.3,4,75,46,38,0.36,0,0,28,524,2000
37,55,55,29.83,26.88,46,4.6,0,-3,10,65,44,17,0,0,0,14,522,2001
41,60,54,29.66,26.72,49,5.8,0,1.7,5,72,47,17,0.001,0,0,15,521,2002
49,55,84,29.63,26.72,51,7.9,0,-3.6,10,59,51,21,0.19,0,0,17,520,2003
45,58,67,29.74,26.82,51,16.1,0,-0.9,7,65,50,33,0.02,0,0,28,519,2004
47,58,71,29.94,27,51,5.4,0,-1.1,7,70,46,24,0.06,0,0,20,518,2005
46,61,61,29.94,27,53,3.9,0,1.6,4,71,51,21,0,0,0,15,517,2006
51,60,79,29.9,26.97,54,4.7,0,0.3,5,67,53,24,0.28,0,0,21,516,2007
51,62,74,29.9,26.96,55,4.4,0,2,3,70,54,25,0.09,0,0,21,515,2008
47,63,58,29.83,26.9,54,4.6,0,2.7,2,73,52,17,0.03,0,0,14,514,2009
47,63,59,29.8,26.88,54,4.5,0,2.5,2,75,51,15,0,0,0,12,514,2010
50,67,62,29.82,26.9,57,9.6,2,6.2,0,79,54,31,0.04,0,0,24,513,2011
47,67,53,29.83,26.91,55,9.1,2,5.9,0,79,54,31,0.001,0,0,22,512,2012
47,67,57,29.81,26.9,54,7.1,2,5.6,0,79,54,29,0.08,0,0,23,511,2013
46,65,54,29.86,26.93,54,3.9,0,3.4,0,78,51,21,0.01,0,0,16,510,2014
45,65,52,29.92,27.01,54,6.5,0,3.1,0,76,54,36,0.07,0,0,20,510,2015
43,64,47,30,27.07,54,5.6,0,1.9,1,79,49,20,0,0,0,15,509,2016
41,72,34,29.96,27.03,56,9.8,7,9.6,0,86,57,30,0,0,0,22,508,2017
47,74,40,29.85,26.95,58,6.8,9,11.3,0,82,65,32,0,0,0,23,508,2018
47,76,38,29.78,26.88,59,6.5,11,13.1,0,94,57,40,0,0,0,32,507,2018
46,73,41,29.73,26.85,58,10.3,8,9.8,0,85,60,31,0.01,0,0,25,507,2019
45,66,49,29.9,26.99,54,6.6,1,2.6,0,75,56,29,0.001,0,0,25,506,2020
44,63,53,29.87,26.94,53,7.9,0,-0.7,2,75,50,24,0,0,0,17,506,2021
44,65,49,29.84,26.93,54,9.3,0,1,0,79,51,25,0.01,0,0,21,505,2022
49,69,54,29.86,26.95,57,7.1,4,4.8,0,83,54,38,0.14,0,0,31,505,2022
48,73,46,29.84,26.94,58,8.4,8,8.5,0,89,57,32,0,0,0,26,505,2023
51,75,44,29.92,27.03,61,4.7,10,10.3,0,89,60,16,0,0,0,12,504,2024
49,82,34,29.89,27,62,5.8,17,17,0,96,67,16,0,0,0,13,504,2024
50,85,33,29.73,26.85,63,6.4,20,19.7,0,99,70,20,0,0,0,16,504,2025
49,78,39,29.7,26.82,60,4.2,13,12.5,0,88,68,13,0.001,0,0,10,504,2025
40,75,30,29.81,26.93,56,9.2,10,9.2,0,91,59,26,0,0,0,22,503,2026
34,74,25,29.84,26.95,54,11.4,9,7.9,0,88,60,28,0,0,0,23,503,2026
28,68,24,29.83,26.93,49,7.9,3,1.6,0,83,52,21,0,0,0,18,503,2027
31,67,28,29.85,26.94,50,6.8,2,0.4,0,84,50,20,0,0,0,16,503,2027
36,72,26,29.78,26.88,54,6.2,7,5.1,0,91,53,20,0,0,0,16,503,2028
39,75,29,29.85,26.96,56,5.3,10,7.8,0,90,59,21,0,0,0,15,503,2028
37,78,24,29.83,26.95,56,6.8,13,10.5,0,93,62,23,0,0,0,17,503,2029
40,77,27,29.78,26.9,57,5.7,12,9.2,0,94,60,22,0,0,0,15,503,2029
37,74,27,29.85,26.97,55,11.4,9,5.9,0,86,62,24,0,0,0,21,503,2029
40,72,33,29.87,26.96,55,5.7,7,3.6,0,88,56,20,0,0,0,15,504,2029
42,77,32,29.75,26.87,57,6.6,12,8.3,0,90,63,35,0,0,0,29,504,2030
41,73,34,29.93,27.03,56,5,8,3.9,0,88,57,20,0,0,0,15,504,2030
40,77,28,29.89,27,57,5.9,12,7.6,0,93,60,29,0,0,0,15,504,2030
41,76,31,29.9,27.01,57,6.6,11,6.3,0,92,60,22,0,0,0,17,504,2030
43,78,31,29.98,27.08,58,6.3,13,8,0,94,61,29,0,0,0,17,505,2030
46,83,29,29.93,27.05,62,5.3,18,12.7,0,101,64,16,0,0,0,14,505,2030
46,90,24,29.87,27,63,5.3,25,19.3,0,106,73,22,0,0,0,16,506,2030
49,92,24,29.78,26.93,65,5.9,27,21,0,110,74,24,0.01,0,0,18,506,2030
53,91,29,29.81,26.95,67,6.4,26,19.7,0,103,79,23,0,0,0,16,506,2030
51,88,30,29.84,26.98,65,6.5,23,16.4,0,102,74,23,0,0,0,17,507,2030
47,86,29,29.85,26.98,63,6.7,21,14,0,102,70,29,0,0,0,18,507,2030
44,87,24,29.83,26.96,62,6.4,22,14.7,0,104,69,21,0,0,0,16,508,2030
43,86,23,29.76,26.9,61,6.6,21,13.4,0,102,69,24,0,0,0,20,509,2030
40,86,21,29.7,26.85,60,5.7,21,13.1,0,100,71,20,0,0,0,14,509,2029
52,78,41,29.81,26.95,62,5.8,13,4.8,0,84,71,17,0.001,0,0,15,510,2029
50,81,36,29.91,27.01,62,5.6,16,7.5,0,94,68,20,0,0,0,15,510,2029
47,85,30,29.81,26.93,62,8.1,20,11.2,0,96,73,21,0,0,0,18,511,2028
51,76,49,29.76,26.88,61,8.9,11,1.9,0,88,63,46,0.62,0,0,26,512,2028
57,75,58,29.73,26.83,63,6.1,10,0.6,0,87,63,25,0.15,0,0,20,513,2027
54,75,53,29.76,26.88,61,6.5,10,0.3,0,86,63,28,0.08,0,0,23,513,2027
52,75,54,29.84,26.95,60,8.1,10,0.1,0,86,63,37,0.02,0,0,30,514,2026
55,74,61,29.96,27.05,61,4.8,9,-1.2,0,88,59,47,0.03,0,0,39,515,2026
52,71,57,29.97,27.04,59,6.2,6,-4.5,0,84,58,26,0,0,0,22,516,2025
52,73,52,29.87,26.98,60,5.7,8,-2.7,0,87,59,28,0.01,0,0,21,517,2025
50,75,44,29.86,26.96,60,6,10,-0.9,0,88,61,26,0,0,0,15,517,2024
43,74,34,29.87,26.98,57,9.3,9,-2.1,0,86,62,28,0,0,0,21,518,2023
40,68,38,29.87,26.96,53,8.5,3,-8.3,0,79,56,29,0,0,0,23,519,2023
41,71,35,29.93,27.03,55,6.3,6,-5.5,0,86,56,22,0,0,0,18,520,2022
42,77,30,29.99,27.08,58,6.3,12,0.3,0,92,61,18,0,0,0,15,521,2021
41,80,25,29.88,26.99,58,5.2,15,3.2,0,96,64,18,0,0,0,14,522,2020
